,제목,내용,링크
30,"김건희 여사, 환경·동물보호 단체와 오찬… “환경과 동물보호, 취약계층 지원이 내 할 일”",윤석열 대통령 부인 김건희 여사는 9일 환경·동물보호 활동가들과 함께 오찬을 하며 이들의 활동을 격려했다. 김 여사는 “국민들이 쉽게 다가갈 수 있는 작은 실천이 중요하다”면서 “누구나 일상에서 참여할 수 있는 캠페,https://n.news.naver.com/article/366/0000883886
31,"김건희 여사, 여성의 날 행사 참석 ""여성 사회 안전망 확충 위해 정부 노력해야""","한국여성단체협의회 주최 행사 참석 윤석열 대통령 배우자인 김건희 여사는 8일 ""여성들의 사회 안전망 확충을 위해 정부와 사회가 함께 노력해야 할 것""이라고 말했다. 이도운 대통령실 대변인은 8일 오후 서면 브리핑을 ",https://n.news.naver.com/article/310/0000104770
32,“5만 원이 뭐라고”...관리비 갈등에 이웃들 찌르고 목숨 끊은 50대,제천의 다세대 주택에서 50대 남성이 이웃 주민 네 명에게 흉기를 휘둘렀습니다. 이전에도 이웃집에 칼을 꽂아 놓는 등 위협을 서슴지 않았다고 하는데요. 이유는 매월 관리비 5만 원 때문이었습니다. 주민들은 다행히 생,https://n.news.naver.com/article/655/0000008414
33,"[주간 뉴스타파] 한국 정부, 친환경 가면 쓴 대기업에 특혜 펑펑",친환경 재생에너지로 주목받고 있는 목재 펠릿과 바이오중유 등의 이면에는 잘 알려지지 않은 불편한 진실이 있다. 바로 동남아시아 지역 삼림파괴와 환경오염이다. 오늘 주간뉴스타파는 한국 대기업이 인도네시아 등에 진출해 ,https://n.news.naver.com/article/607/0000001422
34,"유동규 “김만배 지분 절반, 이재명 대통령 만들기용… 李도 알고 있었다”",불법 정치자금 수수 혐의로 재판에 넘겨진 김용 전 민주연구원 부원장의 재판에서 유동규 전 성남도시개발공사 기획본부장이 대장동 개발사업의 수익 일부가 ‘이재명 더불어민주당 대표를 대통령으로 만들기 위한 용도’였다고 재,https://n.news.naver.com/article/081/0003345006
35,"경관 생각하면 없애야 하지만, 매년 30억씩 입금…붕어섬 딜레마",강원도가 춘천시 의암호 붕어섬에 조성된 대규모 태양광발전단지를 두고 딜레마에 빠졌다. 춘천 삼악산케이블카 개장 이후 태양광단지가 경관을 해친다는 의견이 꾸준히 나오고 있지만 붕어섬이 각종 환경규제로 개발이 어려운데다,https://n.news.naver.com/article/087/0000956777
36,“얼굴에 야구공만한 구멍이”…‘反JMS’ 김도형 교수 부친도 테러당했다,기독교복음선교회(통칭 JMS) 총재 정명석(78)씨에 대한 이야기를 다룬 넷플릭스 다큐멘터리 ‘나는 신이다: 신이 배신한 사람들’이 공개된 이후 파장이 이어지고 있다. JMS 측이 반(反)JMS 활동가와 탈퇴 신자들,https://n.news.naver.com/article/023/0003750626
37,동시선거 3기 조합장 시대…“지방소멸 극복과 지역농업 발전에 힘쓰겠습니다”,"제3회 전국동시조합장선거가 투표율 약 80%로 마무리되며 동시선거 3기 조합장 시대가 활짝 열렸다. 이번 선거에선 농·축협, 산림조합, 수협에서 총 1346명이 당선의 영광을 거머쥐었다. 중앙선거관리위원회에 따르면 ",https://n.news.naver.com/article/662/0000015782
38,"유동규 ""10년간 '이재명 위해 산다' 셀프세뇌""","이재명 더불어민주당 대표의 불법 대선 경선 자금을 건넨 혐의로 기소된 유동규 전 성남도시개발공사 기획본부장은 ""김용 전 민주연구원 부원장이 '광주 남부지역 관리가 힘들고' ""돈이 없어서 애들이 너무 힘들어한다'며 2",https://n.news.naver.com/article/448/0000398934
39,"""일하다 죽으라는 뜻?""… 청년들 '주 69시간'에 '극 대노'",최근 정부가 내놓은 '근로시간 제도 개편안'에 대해 청년 노동자들이 반발하고 있다. 기존 노동계는 물론이고 MZ세대 노조로 불리며 주목받고 있는 '새로고침 노동자협의회'도 반대 입장을 내놓았다. 반면 정부는 극단적인,https://n.news.naver.com/article/014/0004979635
40,중국이 잡은 리튬 패권과 尹 정부의 과제 [視리즈],"지난해 3월 이후 리튬 수입가격이 폭등했다. 전월 대비 가격은 4배가량 올랐다. 그저 국제 리튬 가격이 올랐기 때문일까. 꼭 그렇지만은 않다. 국제 리튬 가격은 이미 8개월 전부터 올랐는데, 국내에 반영된 건 러시아",https://n.news.naver.com/article/665/0000000584
41,교통사고로 숨졌는데 외상없어…부사관 남편 의혹,어제(8일) 오전 강원도 동해시에서 SUV 차량이 옹벽을 들이받아 운전자가 크게 다치고 동승자인 아내가 숨지는 사고가 발생했습니다. 경찰도 단순 교통사고로 생각했는데 아파트 CCTV에 남편의 수상한 정황이 포착돼 군,https://n.news.naver.com/article/422/0000587875
42,[오늘 과학] 건물에 칠하면 내부 온도 낮아지는 페인트,미국 연구팀이 기존보다 흡수하는 열의 양이 적은 페인트를 개발했다. 건물 외벽에 개발한 페인트를 사용하면 열 흡수량이 줄어 기존 제품을 사용하는 것보다 건물 내부 온도를 6~7도 가량 낮출 수 있는 것이라는 게 연구,https://n.news.naver.com/article/584/0000022262
